Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS,,,,,,,,,,,,,,
8S-2.1,Star,8h00,-20.00,30-31.01.1987,10m,0h50,1h00,9x12,Большой Шмидт,Солодовников В.В.,0.завсветка,8h (+2grad),,,,,,,,,,,,,
8S-3.1,Star,8h00,0.00,30-31.01.1987,10m,1h11,1h21,9x12,Большой Шмидт,Солодовников В.В.,0.завсветка,8h (+3grad),,,,,,,,,,,,,
8S-2.2,Star,8h00,5.00,30-31.01.1987,10m,1h25,1h35,9x12,Большой Шмидт,Солодовников В.В.,,8h (+1grad),,,,,,,,,,,,,
8S-3.2,Star,8h00,10.00,30-31.01.1987,10m,1h38,1h48,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
8S-2.3,Star,8h00,10.00,30-31.01.1987,10m,1h50,2h00,9x12,Большой Шмидт,Солодовников В.В.,,8h (+1grad),,,,,,,,,,,,,
8S-3.3,Star,8h00,14.00,30-31.01.1987,10m,2h00,2h10,9x12,Большой Шмидт,Солодовников В.В.,,8h (+1grad),,,,,,,,,,,,,
8S-2.4,Star,8h00,21.00,30-31.01.1987,10m,2h13,2h23,9x12,Большой Шмидт,Солодовников В.В.,0.завсветка,8h (+1grad),,,,,,,,,,,,,
8S-3.4,Star,8h00,25.00,30-31.01.1987,10m,2h25,2h35,9x12,Большой Шмидт,Солодовников В.В.,,8h (+1grad),,,,,,,,,,,,,
8S-2.5,Star,8h00,30.00,30-31.01.1987,10m,2h39,2h49,9x12,Большой Шмидт,Солодовников В.В.,,8h (-2grad),,,,,,,,,,,,,
8S-3.5,Star,8h00,35.00,30-31.01.1987,10m,2h51,3h01,9x12,Большой Шмидт,Солодовников В.В.,,8h (-2grad),,,,,,,,,,,,,
8S-2.6,Star,8h00,38.00,30-31.01.1987,10m,3h05,3h15,9x12,Большой Шмидт,Солодовников В.В.,0. пятна на пластинке,8h00,,,,,,,,,,,,,
8S-3.6,Star,7h30,38.00,30-31.01.1987,10m,3h17,3h27,9x12,Большой Шмидт,Солодовников В.В.,,7h30,,,,,,,,,,,,,
8S-2.7,Star,7h00,38.00,30-31.01.1987,10m,3h29,3h39,9x12,Большой Шмидт,Солодовников В.В.,,7h00,,,,,,,,,,,,,
9S-2.2,Star,21h30,-24.00,29-30.09.1987,15m,0h13,0h28,9x12,Большой Шмидт,Солодовников В.В.,0. передержано,21h30,,,,,,,,,,,,,
9S-3.2,Star,0h00,-30.00,29-30.09.1987,10m,0h40,0h50,9x12,Большой Шмидт,Солодовников В.В.,0. пятна на пластинке,0h00,,,,,,,,,,,,,
9S-2.3,Star,0h00,-27.00,29-30.09.1987,10m,0h52,1h02,9x12,Большой Шмидт,Солодовников В.В.,,0h (-3grad),,,,,,,,,,,,,
