Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS
26-2578,NGC6834,20h03,29.06,09-10.08.1964,3m,20h11,20h14,,,,
26-2578-st,NGC6834,20h03,29.06,09-10.08.1964,3m,20h19,20h22,,,,"не фотометрировать, вне фокуса"
26-2596,NGC7092,21h51,47.02,13-14.08.1964,2m,23h13,23h15,,,,
26-2596-st,NGC7092,21h51,47.02,13-14.08.1964,2m,,,,,,
26-2827,Star,6h31,31.00,06-07.01.1964,,,,,,,
26-2601,17P/Holmes,21h52,-18.00,15-16.08.1964,15m,21h45,22h00,,,,
26-2603,61P/Shajn-Schaldach,4h21,16.30,16-17.08.1964,14m,0h07,0h21,,,,
26-2604,61P/Shajn-Schaldach,,,16-17.08.1964,14m,0h46,1h00,,,,
26-2837,M67,8h48,12.00,08-09.01.1965,14m,6h10m40s,6h24m40s,,,,
26-2847,42P/Neujmin,2h25,20.00,30-31.01.1965,12m,6h28,6h40,,,,поломана
26-2848,42P/Neujmin,2h25,20.00,30-31.01.1965,12m,6h45,6h57,,,,
26-2915,60P / Tsuchinshan,8h04,12.41,09-10.03.1965,14m,11h35,11-49,,,,
26-2926-a,rho-Orh,,,29-30.07.1965,17m,16h54,17h11,,,,
26-2926-a-st,rho-Orh,,,29-30.07.1965,17m,17h17,17h34,,,,
26-2926-a-cal-1,Calibrovka,,,29-30.07.1965,17m,,,,,,
26-2926-a-cal-2,Calibrovka,,,29-30.07.1965,17m,,,,,,
26-2927,rho-Orh,,,29-30.07.1965,30m,17h43m35s,18h13m35s,,,,
26-2927-st,rho-Orh,,,29-30.07.1965,30m,18h20,18h50,,,,
26-2927-cal-1,Calibrovka,,,29-30.07.1965,30m,,,,,,
26-2927-cal-2,Calibrovka,,,29-30.07.1965,30m,,,,,,
26-2630,IC5146,21h51,47.00,12-13.09.1964,2m,22h44,22h46,,,,
26-2630-st,IC5146,21h51,47.00,12-13.09.1964,2m,,,,,,
26-2916,60P / Tsuchinshan,8h04,12.41,09-10.03.1965,14m,11h57,12h11,,,,
26-2915-2916,M67,8h48,12.00,09-10.03.1965,14m,12h26,12h40,,,,
26-3057,SA78,10h16,15.00,09-10.02.1966,5m,7h34,7h39,,,,
26-3058,MP20/малая планета,10h19,9.00,09-10.02.1966,5m,7h56,8h01,,,,
26-3059,SA78,,,09-10.02.1966,5m,8h06,8h11,,,,
26-3060,MP20/малая планета,,,09-10.02.1966,5m,8h16,8h21,,,,
26-5487-st,Del,20h35,15.00,08-09.08.1985,30m,,,,,,
26-5487-cal,Calibrovka,,,08-09.08.1985,15m,,,,,,
26-6455,1990B comet,1h53,48.20,24-25.03.1990,4m,21h55,21h59,,,,возможно передержана
26-5659-st,Ori,,,12-13.01.1986,8m30s,,,,,,
26-5659-cal,Calibrovka,,,12-13.01.1986,8m30s,,,,,,
26-5579-cal,Calibrovka,,,16-17.11.1985,,,,,,,
26-3014,Pleiades,3h44,24.04,17-18.12.1965,5m,3h57,,,,,
26-3013,Nebula,4h17,27.10,17-18.12.1965,5m,3h46,,,,,
26-3012,Nebula,4h17,27.10,17-18.12.1965,5m,3h35,,,,,
26-5449-a-st,nu-Ori,,,27-28.12.1984,10m,,,,,,
26-5449-b-st,nu-Ori,,,27-28.12.1984,10m,,,,,,
26-5028-a,Pleiades,,,30.09-01.10.1973,,,,,,,
26-4019-cal,Calibrovka,,,,,,,,,,
26-5442-a-cal,Calibrovka,,,02-03.11.1984,8m,,,,,,
26-3073,SA78,,,14-15.02.1966,2m;2m,11h54;11h59,11h56;12h01,,,,
26-3072,MP20/малая планета,,,14-15.02.1966,2m;2m,11h41;11h45,11h43;11h47,,,,
26-3078,MP20/малая планета,,,21-22.02.1966,2m;2m,10h23;10h26,10h25;10h28,,,,
26-3079,SA78,,,21-22.02.1966,2m;2m,10h36;11h07,10h38;11h09,,,,
26-3077,SA78,,,19-20.02.1966,2m:2m,12h24;12h27,12h26;12h29,,,,
26-3074,MP20/малая планета,,,19-20.02.1966,2m:2m,11h36;11h49,11h38;11h51,,,,
26-3076,MP20/малая планета,,,19-20.02.1966,2m:2m,12h08;12h11,12h10;12h13,,,,
26-3075,SA78,,,19-20.02.1966,2m:2m,11h55;11h58,11h57;12h00,,,,
26-3069,MP20/малая планета,,,13-14.02.1966,2m,12h00,12h02,,,,
26-3067,MP20/малая планета,,,13-14.02.1966,2m,11h46,11h48,,,,
26-3070,SA78,,,13-14.02.1966,2m,12h07,12h09,,,,
26-3068,SA78,,,13-14.02.1966,2m,11h53,11h55,,,,
26-2928,rho-Orh,,,30-31.07.1965,15m,17h23,17h38,,,,
26-2928-st,Nebula,,,30-31.07.1965,15m,17h43,17h58,,,,
26-2928-cal-1,Calibrovka,,,30-31.07.1965,15m,,,,,,
26-2928-cal-2,Calibrovka,,,30-31.07.1965,15m,,,,,,
26-6403-a-st,bet-Aqr,,,09-10.10.1988,3m,20h49,20h52,,,,
26-6403-b-st,bet-Aqr,,,09-10.10.1988,3m,20h59,21h02,,,,
26-6403-c-st,bet-Aqr,,,09-10.10.1988,3m,21h09,21h12,,,,
26-6403-d-st,bet-Aqr,,,09-10.10.1988,3m,21h22,21h25,,,,
26-6403-a-b-c-d-cal,Calibrovka,,,09-10.10.1988,3m,,,,,,
26-6404-a-st,bet-Aqr,,,10-11.10.1988,6m,21h04,21h10,,,,
26-6404-b-st,bet-Aqr,,,10-11.10.1988,6m,21h20,21h26,,,,
26-6404-c-st,bet-Aqr,,,10-11.10.1988,6m,21h39,21h45,,,,
26-6404-d-st,bet-Aqr,,,10-11.10.1988,6m,21h51,21h57,,,,
26-6404-a-b-c-d-cal,Calibrovka,,,10-11.10.1988,6m,,,,,,
