Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC   (градусы),DATE-OBS,exposition ,TIME-OBS (tзв-s),TIME-END,Т декретное ??? необходимо перевести в UT,SIZE,TELESCOPE,OBSERVER,COMMENTS,
2-835,Комета Харрингтона (Harrington),33h41m.6,-12.18,20-21.08.1953,23m,23h13m,23h36m,23h13m,"8,9*9,7 cm",50cm менисковый телескоп Максутова,,"t= + 15C, прозрачность плохая, тонкая облачная пелена, изображения дрожат",
2-836,Комета Харрингтона (Harrington),33h41m.6,-12.18,20-21.08.1953,40m,0h46m,1h26m,0h46m,"8,9*9,7 cm",50cm менисковый телескоп Максутова,,"t= + 15C, прозрачность плохая, небо очищается, изображения дрожат",
2-863,Комета Харрингтона (Harrington),23h47m,-15.00,3-4.09.1953,20m; 20m,23h16m; 23h46m,23h36m; 24h06m,23h16m,"8,9*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +21C,  прозрачность средняя,  пластинки Jsoh JSS (очуствленные) б/ф",
2-866,Комета Харрингтона (Harrington),23h47m,-15.00,4-5.09.1953,20m,20h20m,20m40m,20h20m,"8,9*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +24C,  прозрачность средняя, ясно, изображение немного дрожит, пластинки Agfa panchrom (очуствленные) б/ф",
2-904,Комета Харрингтона (Harrington),23h58m,-24.23,7-8.10.1953,20m; 20m,22h04m; 22h43m,22h24m; 23h03m,22h04m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  U= +13s,  пленка ""Изохром""",
2-922,Комета Харрингтона (Harrington),23h56m,-28.00,29-30.10.1953,30m; 30m,23h49m; 0h20m,0h19m; 0h50m,23h49m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 0.8C,  U= 0s,  пленка ""Изохром""",
2-730,Комета Джекс-Неуймина(Jackson-Neujmin) ,17h54m,-12.00,12-13.02.1953,40m,14h07m,14h47m,14h07m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 0C,  U = + 17s;,  пластинки Jsoh JSS (очуствленные) ",
2-865,Комета Понс-Брукса 1953С (Pons-Brooks-1953C),,,4-5.09.1953,20m,19h24m,19h44m,19h24m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +24C,  прозрачность средняя, ясно, изображение немного дрожит, пластинки Agfa panchrom (очуствленные) б/ф",
2-881,Комета Понс-Брукса 1953С(Pons-Brooks-1953C),17h24m.6,46.48,11-12.09.1953,20m; 20m,21h10m; 21h32m.5,21h30m; 21h52m.5,21h10m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," U= =2m48s,  прозрачность плохая",
2-927,Комета Понс-Брукса 1953С(Pons-Brooks-1953C),17h54m.5,37.47,10-11.11.1953,26m; 26m,21h59m; 22h36m,22h25m; 23h02m,21h59m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -10C,   ясно",
2-860,Комета Брукса 2(Brooks-2),17h28m,48.30,1-2.09.1953,24m; 20m,19h38m; 20h06m,20h02m; 20h26m,19h38m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +24C,  прозрачность хорошая, ветер, пленка ""Изохром"" через стекло.",
2-871,Комета Брукса 2(Brooks-2),17h25m,47.00,9-10.09.1953,20m; 20m,22h14m; 22h37m,22h34m; 22h57m,22h14m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +16.5C,  прозрачность средняя,  пластинки Agfa panchrom (очуствленные) б/ф, метод Меткофа",
2-940,Комета Брукса 2(Brooks-2),3h53m,10.40,3-4.12.1953,30m; 30m,3h03m;  3h35m,3h33m; 3h35m ,3h03m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -5C, метод Меткофа-Блажко, пластинки Isopan ISS",
2-945,Комета Брукса 2(Brooks-2),3h51m,10.35,7-8.12.1953,31m,2h36m,3h07m,2h36m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +2 C, метод Меткофа-Блажко, облака, ветер",
2-953,Комета Брукса 2(Brooks-2),3h50m,10.34,9-10.12.1953,30m; 30m,2h36m;  3h07m,3h06m; 3h37m,2h36m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,,"t= +1.5C,  U = - 1m.4, метод Меткофа-Блажко",
2-953-st,SA 49,5h24m,29.40,9-10.12.1953,30m,3h56m,4h26m,3h56m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,,"t= +1.5C,  U = - 1m.4, стандарт к снимку 2-953",
2-941,Комета Брукса 2(Brooks-2),3h53m,10.40,3-4.12.1953,30m,4h10m,4h40m,4h10m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -5C, метод Меткофа-Блажко, пластинки Isopan ISS",
2-943,Комета Неуймина II(Neujmin-2),,,6-7.12.1953,33m; 33m,2h55m; 3h30m,3h28m; 4h03m,2h55m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -3C, метод Меткофа-Блажко, пластинки Isopan ISS(очувствленные), изображение спокойное, прозрачность хорошая",
2-949,Комета Неуймина II (Neujmin-2),5h43m,41.00,8-9.12.1953,40m,7h05m,7h45m,7h05m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -1.5C, метод Меткофа-Блажко, пластинки Isopan ISS(очувствленные), изображение спокойное, ясно",
2-950,Комета Неуймина II(Neujmin-2),5h43m,41.00,8-9.12.1953,40m,8h00m,8h40m,8h00m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -1.5C, метод Меткофа-Блажко, пластинки Isopan ISS(очувствленные), изображение спокойное, ясно",
2-974,Комета Неуймина II(Neujmin-2),4h54m,37.02,22-23.01.1954,30m; 30m,3h10m; 3h43m,3h40m; 4h13m,3h10m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -7.5C, метод Меткофа-Блажко,  прозрачность хорошая",
2-975,Комета Неуймина II(Neujmin-2),4h54m,37.02,22-23.01.1954,30m,4h22m,4h52m,4h22m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -7.5C, метод Меткофа-Блажко,  прозрачность хорошая",
2-969,Комета Неуймина II(Neujmin-2),5h01m.5,38.59,11-12.01.1954,30m; 30m,9h11m; 9h44m,9h41m; 10h14m,9h11m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"t= -1.5C, метод Меткофа-Блажко, пластинки Isopan ISS(очувствленные аммиаком), ветер, изображение неспокойное",
2-1369,Комета Мркоса(Mrkos),,,27-28.06.1955,23m,20h32m,20h55m,20h32m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +15C, метод Меткофа-Блажко,  прозрачность средняя",
2-1472,Комета Мркоса (Mrkos),,,25-26.10.1955,2m; 2m,6h19m; 6h43m,6h21m; 6h45m,6h19m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,," пластинки HP 3 (Jlford), метод Меткофа-Блажко",
2-1378,Комета Бахарева (Bakharev),21h34m,54.00,11-12.08.1955,6m; 6m,20h01m; 20h25m,20h07m; 20h31m,20h01m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= +26C,  U = +1m 4s, метод Меткофа-Блажко, HP 3",
2-1381,Комета Бахарева (Bakharev),20h50m,60.00,22-23.08.1955,10m; 10m,20h32m; 20h52m,20h40m; 21h02m,20h32m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= +18.5C,  U = -20s, метод Меткофа-Блажко, HP 3",
2-997,МП 2 Паллада (MP2Pallas),9h30m,-10.24,26-27.02.1954,20m,9h56m,10h16m,9h56m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,,"t= -12C, метод Меткофа-Блажко,  прозрачность хорошая",
2-1386,Комета Хонда (Honda),14h39m,71.30,24-25.08.1955,15m,0h42m,0h57m,0h42m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= +16C,  U = +9s, метод Меткофа-Блажко, rotrapid (очувствленные)",
2-1387,Комета Хонда (Honda),14h39m,71.30,24-25.08.1955,15m,1h02m,1h17m,1h02m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= +16C,  U = +9s, метод Меткофа-Блажко, rotrapid (очувствленные)",
2-1388,Комета Хонда (Honda),14h39m,71.30,24-25.08.1955,10m,1h23m,1h33m,1h23m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,,"t= +16C,  U = +9s, метод Меткофа-Блажко, rotrapid (очувствленные)",
2-1389,Комета Хонда (Honda),14h39m,71.30,24-25.08.1955,10m,1h40m,1h50m,1h40m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,,"t= +16C,  U = +9s, метод Меткофа-Блажко, rotrapid (очувствленные)",
2-1390,Комета Хонда (Honda),14h39m,71.30,24-25.08.1955,7m,2h03m,2h10m,2h03m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,,"t= +16C,  U = +9s, метод Меткофа-Блажко, rotrapid (очувствленные)",
2-1391,Комета Хонда (Honda),14h39m,71.30,24-25.08.1955,5m30s,2h14m30s,2h20m,2h14m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= +16C,  U = +9s, метод Меткофа-Блажко, rotrapid (очувствленные)",
2-1392,Комета Хонда (Honda),15h02m,68.00,25-26.08.1955,1m; 1m,21h05m; 21h28m,21h06m; 21h29m,21h05m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,   метод Меткофа-Блажко, HP 3",
2-1393,Комета Хонда (Honda),15h02m,68.00,25-26.08.1955,9m,21h52m,22h01m,21h52m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,   метод Меткофа-Блажко, HP 3",
2-1394,Комета Хонда (Honda),15h02m,68.00,25-26.08.1955,45m,22h12m,22h57m,22h12m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,   метод Меткофа-Блажко, HP 3",
2-1395,Комета Хонда (Honda),15h02m,68.00,25-26.08.1955,20m,23h06m,23h26m,23h06m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,   метод Меткофа-Блажко, Astro uns, к снимку имеется стандарт 11-1396",
2-1397-a,Комета Хонда (Honda),9h53m,68.00,25-26.08.1955,20m,24h04m,24h24m,24h04m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,   метод Меткофа-Блажко, HP 3",
2-1397,Комета Хонда (Honda),,,26-27.08.1955,2m; 1m,1h32m; 1h36m,1h34m; 1h37m,1h32m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +15C, метод Меткофа-Блажко, пластинки Isopan ISS, облачность",
2-1398,Комета Хонда (Honda),,,26-27.08.1955,2m; 1m,1h42m; 1h44m,1h45m; 1h46m,1h42m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +15C, метод Меткофа-Блажко, пластинки Isopan ISS, облачность",
2-1399,Комета Хонда (Honda),15h40m,57.00,29-30.08.1955,2m08s,22h50m28s,22h52m36s,22h50m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,  U = +1m24s; пластинки HP 3, облачность",
2-1400,Комета Хонда (Honda),15h40m,57.00,29-30.08.1955,3m,23h10m,23h13m,23h10m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,  U = +1m24s; пластинки HP 3 + кр.ф. III, облачность",
2-1401,Комета Хонда (Honda),15h40m,57.00,29-30.08.1955,2m,23h56m,23h58m,23h56m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,  U = +1m24s; пластинки HP 3 + кр.ф. I, облачность",
2-1402,Комета Хонда (Honda),15h40m,57.00,29-30.08.1955,2m,0h05m,0h07m,0h05m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,  U = +1m24s; пластинки HP 3 + кр.ф. I, облачность",
2-1403,Комета Хонда (Honda),15h40m,57.00,29-30.08.1955,16m,0h21m,0h37m,0h21m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,  U = +1m24s; пластинки HP 3 + кр.ф. I, облачность",
2-1634,Комета Ольберса (Olbers),14h05m,10.32,12-13.09.1956,11m; 10m,18h58m; 19h11m,19h09m; 19h21m,18h58m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +15C,  U = -7m31s; пластинкиJsopJSS, метод Меткоф-Блажко, снимок плохого качества",
2-1676,Комета Григга (Grigg),9h15m,0.00,16-17.10.1956,16m; 16m,05h46m; 06h07m,06h02m; 06h23m,05h46m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +16C, пластинкиJsopJSS,  метод Меткоф-Блажко",
2-1733,Комета Конди (Kondi),0h29m,03.42,25-26.12.1956,5m,01h52m,01h57m,01h52m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= -8C, сквозь облака",
2-1794,Комета  Мркоса 1956h(Mrkos),,,28-29.04.1957,,300*    12h27m10s        210*    12h32m20s                210*    12h35m30s           300*    12h40m10s,,12h27m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= +9C,   пластинки Kodak 103 OaE, поляроид",
2-1796,Комета  Мркоса 1956h(Mrkos),,,30.04-1.05.1957,22m,12h44m,13h06m,12h44m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +4C,   пластинки Kodak 103 OaO+бс8+фс7",
2-1771,Комета Ашбрук-Джексона(Ashbrook–Jackson),4h04m,32.30,24-25.03.1957,3m; 5m,7h33m; 7h39m,7h38m; 7h42m,7h33m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,,"t= +5C, пластинки HP 3, облачность, метод Меткофа-Блажко",
2-1777,Комета Ашбрук-Джексона(Ashbrook–Jackson),4h04m,33.00,24-25.03.1957,12m; 15m,21h55m; 22h21m,22h07m; 22h36m,21h55m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,,"t= +5C, пластинки HP 3, облачность, метод Меткофа-Блажко",
2-1779,Комета Ашбрук-Джексона(Ashbrook–Jackson),4h11m.8,32.08,25-26.03.1957,12m; 15m,09h46m; 10h10m,09h58m; 10h25m,09h46m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,,"t= +5C, пластинки Jlford zenith, метод Меткофа-Блажко",
2-1782,Комета Копфа  22P(Kopff),11h02m,11.40,26-27.03.1957,15m; 15m,10h25m; 10h41m,10h40m; 10h56m,10h25m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,,"t= +11C,  метод Меткофа-Блажко",
2-1785,Комета Копфа  22P(Kopff),10h02m,11.44,27-28.03.1957,15m; 15m,10h48m; 11h05m,11h03m; 11h20m,10h48m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,,"t= +11C, пластинки HP 3, метод Меткофа-Блажко",
2-1786,Комета Копфа  22P(Kopff),10h47m,13.00,16-17.04.1957,15m; 15m,10h26m; 10h58m,10h41m; 11h13m,10h26m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,,"t= +10C, пластинки HP 3,  метод Меткофа-Блажко, подсвечивает Луна, прозрачность средняя",
2-2076,Ком. Швассмана-Вахмана I 1925 I(Schwassmann-Wachmann)I,01h03m,17.30,27-28.11.1959,25m,24h20m,24h45m,24h20m,"9,2*9,7 cm",50cm менисковый телескоп Максутова,,  метод Меткофа-Блажко,
2-2077,Ком. Швассмана-Вахмана I 1925 II(Schwassmann-Wachmann),01h2m.2,17.19,30.11-1.12.1959,25m,0h51m,01h6m,0h51m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= -3C,  метод Меткофа-Блажко",
2-2078,Ком. Швассмана-Вахмана I 1925 II(Schwassmann-Wachmann),01h01m,17.17,2-3.12.1959,25m,0h34m,0h59m,0h34m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,,"t= -5C,  метод Меткофа-Блажко",
2-984,Комета Неуймина II(Neujmin-2),04h55m,34.45,4-5.02.1954,30m; 30m,6h39m; 7h14m,7h09m; 7h44m,6h39m,"9,2*9,2 cm",50cm менисковый телескоп Максутова,,"t= +4C,  U = -1m27s.5; пленки  Изопанхром, метод Меткоф-Блажко",
2-989,Комета Неуймина II(Neujmin-2),04h55m,34.45,5-6.02.1954,30m,6h42m,7h12m,6h42m,"8,7*9,2 cm",50cm менисковый телескоп Максутова,,"t= +4C,  пленки  Изопанхром, метод Меткоф-Блажко",
2-1366-a,Комета Мркоса(Mrkos),06h06m,56.00,23-24.06.1955,4m,20h13m,20h17m,20h13m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +18C,  U = -5s; пластинки Jlord  HP 3 ",
2-1366-c,Комета Мркоса(Mrkos),06h06m,56.00,23-24.06.1955,2m,20h42m,20h44m,20h42m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +18C,  U = -5s; пластинки Astro uns ",
2-1366-d,Комета Мркоса(Mrkos),06h06m,56.00,23-24.06.1955,1m,20h48m,20h49m,20h48m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +18C,  U = -5s; пластинки Jlord  HP 3 ",
2-1366-e,Комета Мркоса(Mrkos),06h06m,56.00,23-24.06.1955,1m,20h53m,20h54m,20h53m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +18C,  U = -5s; пластинки Jlord  HP 3 ",
