Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC   (градусы),DATE-OBS,exposition ,TIME-OBS (tзв-s),TIME-END,Т декретное ??? необходимо перевести в UT,SIZE,TELESCOPE,OBSERVER,COMMENTS,
10-646,VIII спутник Юпитера(VIIISJupiter),,,10-11.10.1952,1h,22h54m,23h54m,22h54m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Идлис Г.М.,"t= +13C,  пластинки Jsopan JSS (очувствленные) + к.ф.I.",
10-558,MP1306,19h34m,-17.00,25-26.06.1952,10m,20h17m,20h27m,20h17m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"t=+ 15C,  пластинки Astro uns, метод Меткофа-Блажко. ",
10-535,MP403-MP1245-MP378,19h11m,-17.00,06-07.06.1952,5m;5m,19h54m;20h12m,19h59m;20h17m,19h54m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"t=+ 10C,  пластинки Astro uns. ",
10-534,MP694,17h02m,-10.45,06-07.06.1952,2m;2m,15h32m;16h04m,15h34m;16h06m,15h32m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"t=+ 10C,  пластинки Astro uns. ",
10-524,MP494-MP529,16h06m,-23.30,27-28.05.1952,10m;10m,17h03m;17h38m,17h13m;17h48m,17h03m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"Пластинки Astro uns,  метод Меткофа-Блажко. ",
10-520,MP1367-MP1450-MP1010,19h34m,-23.50,26-27.05.1952,10m;10m,19h02m;19h31m,19h12m;19h41m,19h02m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"Пластинки Astro uns,  метод Меткофа-Блажко. ",
10-427-st,NPS (α UMi)   Полярная звезда,02h31m,89.15,16-17.03.1952,15m,09h53m,10h08m,09h53m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t=- 7C,  пластинки Astro uns, стандарт к снимку 23-426 и 23-424. ",
10-429,IC1805-S2-190-IC1848,02h32m,61.29,18-19.03.1952,20m,08h16m,08h36m,08h16m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5.5C,  пластинки Jsopan JSS + ж.ф.I.",
10-430,NPS (α UMi)   Полярная звезда,02h31m,89.15,18-19.03.1952,20m,08h46m,09h06m,08h46m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5.5C,  пластинки Jsopan JSS + ж.ф.I., стандарт к снимкам 10-429, 10-431",
10-431,eta-Gen,06h13m,22.31,18-19.03.1952,20m,09h30m,09h50m,09h30m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5.5C,  пластинки Jsopan JSS + ж.ф.I.",
10-432,NPS (α UMi)   Полярная звезда,02h31m,89.15,18-19.03.1952,20m,09h59m,10h19m,09h59m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5.5C,  пластинки Jsopan JSS + ж.ф.I., стандарт к снимкам 10-429, 10-431",
10-596-1,NPS (α UMi)   Полярная звезда,02h31m,89.15,19-20.08.1952,20m;20m,19h50m;20h15m,20h10m;20h35m,19h50m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 18C,  пластинки Jsopan JSS + ж.ф.II.",
10-519,MP1460-MP1484-MP1190,18h47m,-27.40,26-27.05.1952,10m;10m,18h46m;19h18m,18h56m;19h28m,18h46m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"Пластинки Astro uns,  метод Меткофа-Блажко. ",
10-509,MP,16h47m,-10.00,25-26.05.1952,10m;10m,15h27m;16h00m,15h37m;16h10m,15h27m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"Пластинки Astro uns,  метод Меткофа-Блажко. ",
10-517,MP1528-MP903-MP1276-MP992-MP1023,18h31m,-09.04,26-27.05.1952,10m;10m,17h41m;18h16m,17h51m;18h26m,17h41m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"Пластинки Astro uns,  метод Меткофа-Блажко. ",
10-515,MP665-MP1210-MP421,17h57m,-14.20,26-27.05.1952,10m;10m,16h36m;17h11m,16h46m;17h21m,16h36m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"Пластинки Astro uns,  метод Меткофа-Блажко. ",
10-518,MP1414-MP1271,18h36m,-15.50,26-27.05.1952,10m;10m,17h56m;18h31m,18h06m;18h41m,17h56m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"Пластинки Astro uns,  метод Меткофа-Блажко. ",
10-715-a,NPS (α UMi)   Полярная звезда,02h31m,89.15,13-14.01.1953,10m,09h47m,09h57m,09h47m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"t=+ 9C,  пластинки Agfa panchrom (очувствленные). ",
10-971,NGC3321,12h51m,22.21,11-12.01.1954,40m,12h44m,13h24m,12h44m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Гаврилов Г.,"t= - 4C,  пластинки Jsopan JSS (очувствленные аммиаком).",
10-790,MP1936GA,13h44m,-02.30,30.06-01.07.1952,15m;15m,15h53m;16h20m,16h18m;16h45m,15h53m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Матягин В.С.,"t=+ 21C,  пластинки Agfa panchrom (очувствленные),  метод Меткофа-Блажко. ",
10-762,MP1950VA,,,15-16.04.1953,54m;1h,12h51m;13h49m,13h45m;14h49m,12h51m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Карягина З.В.,"t= + 1C,  пластинки Jsopan JSS + ж.ф.II.,  метод Меткофа-Блажко.",
10-1006,NPS (α UMi)   Полярная звезда,02h31m,89.15,05-06.03.1953,2h,09h36m,11h36m,09h36m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Гаврилов Г.,"t= - 4C,  пластинки Ultra special +ж.ф.II.",
10-754-1,MP1266,12h40m,-26.00,04-05.04.1953,16m;16m,12h15m;12h33m,12h31m;12h49m,12h15m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Карягина З.В.,"t=+ 5C,  пластинки Agfa panchrom,  метод Меткофа-Блажко. ",
10-746,MP1950VA,12h54m,-00.40,13-14.03.1953,30m,12h55m,13h25m,12h55m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Карягина З.В.,"t= + 6C,  пластинки Jsopan JSS + ж.ф.II.",
10-745,MP1950VA,12h54m,-00.40,13-14.03.1953,1h,11h50m,12h50m,11h50m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Карягина З.В.,"t= + 6C,  пластинки Jsopan JSS + ж.ф.II.",
10-987-1,JnEr1 планетарная туманность,07h55m,53.00,04-05.02.1954,2h,10h27m,12h27m,10h27m,"8,9*9,7cm",50cm менисковый телескоп Максутова,,"t= + 4C,  пластинки Jsopan JSS + к.ф.III.",
10-763,MP1950VA,12h01m,-00.40,16-17.04.1953,1h;1h,11h59m;13h00m,12h59m;14h00m,11h59m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Карягина З.В.,"t= + 4.5C,  пластинки Jsopan JSS + ж.ф.II,  метод Меткофа-Блажко.",
10-1327,NGC4486-M87,12h30m,12.23,28-29.04.1955,30m,14h37m,15h07m,14h37m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 4C,  пластинки Jsopan JSS (очувствленные) + к.ф.III.",
10-1340,NGC4486-M87,12h30m,12.23,15-16.05.1955,30m,13h40m,14h10m,13h40m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 11.5C,  пластинки Jsopan JSS+ к.ф.III.",
10-1331,NPS (α UMi)   Полярная звезда,02h31m,89.15,10-11.05.1955,10m,13h14m,13h24m,13h14m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 11C,  пластинки Astro uns. ",
10-1320,NGC4486-M87,12h30m,12.23,25-26.04.1955,1h,12h51m,13h51m,12h51m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 5C,  пластинки Astro uns + пс 7+уфс 2 , имеет калибровку 10-1320-Cal.",
10-1323,NGC4486-M87,12h30m,12.23,26-27.04.1955,1h,12h58m,13h58m,12h58m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 9C,  пластинки Astro uns + пс 7+уфс 2,   имеет калибровку 10-1323-Cal.",
10-1324,NGC4486-M87,12h30m,12.23,27-28.04.1955,1h,13h26m,14h26m,13h26m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 8C,  пластинки Jsopan JSS (очувствленные) + к.ф.III.,  имеет калибровку 10-1324-Cal.",
10-1350-st,NGC4486-M87,12h30m,12.23,24-25.05.1955,1h50m,15h03m,16h53m,15h03m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 13C,  пластинки Astro uns + пс 7+уфс 2,  имеет калибровку 10-1350-Cal.",
10-1340-a,NGC4486-M87,12h30m,12.23,15-16.05.1955,30m,12h40m,13h10m,12h40m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 11.5C,  пластинки Jsopan JSS+ к.ф.III.",
10-1359,NGC4486-M87,12h30m,12.23,19-20.06.1955,2h,15h16m,17h16m,15h16m,"9,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 14C,  пластинки Jsopan JSS (очувствленные) + к.ф.III,  имеет калибровку 10-1359-Cal.",
10-131,NGC869-NGC884  h и χ Per  ,02h20m,57.08,28.02-01.03.1951,39m,07h13m,07h52m,07h13m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"t= - 10C,  пластинки Astro uns. ",
10-1665,81pi2Cyg,21h45m,49.04,07-08.10.1956,25m,20h28m,20h53m,20h28m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Jsopan JSS (очувствленные).",
10-398,MP544 Истта,07h24m,22.00,02-03.02.1952,4m;4m;3m,05h25m;06h01m;06h06m,05h29m;06h05m;06h09m,05h25m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"t= - 1.5C,  пластинки Astro uns, метод Меткофа-Блажко . ",
10-452,MP,06h30m,04.11,14-15.04.1952,10m;15m,10h53m;11h23m,11h03h;11h38m,UT_10h53m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"t=+ 14C,  пластинки Astro uns. ",
10-467,radio-star радио-звезда,12h20m,58.00,26-27.04.1952,5h08m,11h46m,16h54m,UT_11h46m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 7C,  пластинки Agfa infra rot (очувствленные аммиаком) + кф № 84. ",
10-536,NGC6992-NGC6995,20h54m,31.30,08-09.06.1952,1h02m,17h28m,18h30m,UT_17h28m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,пластинки Jnfra rot (очувствленные) + к.ф.  III.,
10-419,Sky,10h44m,05.30,26-27.02.1952,10m;10m,09h27m;10h15m,09h37m;10h25m,UT_09h27m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"t= - 1.5C,  пластинки Astro uns. ",
10-177-Cal,Calibrovka,,,03-04.04.1951,,,,,"4,2*8,7cm",50cm менисковый телескоп Максутова,,"t=+ 7C,  пластинки Panchrom + к.ф., калибровка к снимкам 177 и 178.",
10-1320-Cal,Calibrovka,,,25-26.04.1955,14m;14m;12m; 12m;12m;22m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 5C,  пластинки Astro uns + пс 7+уфс 2 , калибровка к снимкам 10-1320 и 1320-st.",
10-1323-Cal,Calibrovka,,,26-27.04.1955,10m;10m;10m; 10m;10m;10m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 9C,  пластинки Astro uns + пс 7+уфс 2, калибровка к снимку 10-1323.",
10-1324-Cal,Calibrovka,,,27-28.04.1955,10m;10m;10m; 10m;10m;10m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,,"t= + 8C,  пластинки Jsopan JSS (очувствленные) + к.ф.III., калибровка к снимкам  10-1324 и 1320-st.",
10-1350-Cal,Calibrovka,,,24-25.05.1955,10m;10m;10m; 10m;10m;10m; 10m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 13C,  пластинки Astro uns + пс 7+уфс 2, калибровка к снимкам  10-1350 и 1350-st.",
10-1359-Cal,Calibrovka,,,19-20.06.1955,10m;10m;10m; 10m;10m;10m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,,"t= + 14C,  пластинки Jsopan JSS (очувствленные) + к.ф.III,  калибровка к снимкам 10-1359 и 1359-st.",
10-1814,Be-stars  Be-звезды,00h47m,63.30,23-24.05.1957,10m,17h11m,17h21m,UT_17h11m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 7C,  пластинки Kodak OaE + к.ф. III . ",
10-1815,Be-stars  Be-звезды,00h47m,63.30,23-24.05.1957,10m,17h34m,17h44m,UT_17h34m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 7C,  пластинки Jsopan JSS + к.ф.III.",
10-3918,Sky,00h34m,-15.16,16-17.01.1971,15m,02h58m,03h13m,UT_02h58m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= - 10C,  пластинки Zu-2 .",
10-5231-a-st, M45   Плеяды,03h46m,24.07,17-18.02.1979,13m,06h25m,06h38m,UT_06h25m,"8,9*8,9cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 7.5C,  пластинки Zu-2, стандарт к снимку 10-5232-a",
10-5232-a,nebula-Ori  тум. в Орионе,04h45m,-05.00,17-18.02.1979,13m,06h50m,07h03m,UT_06h50m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 7.5C,  пластинки Zu-2, имеет стандарт 10-5231-a-st  и калибровку",
10-5234-a-st, M45   Плеяды,03h46m,24.07,17-18.02.1979,13m,07h30m,07h43m,UT_07h30m,"8,9*8,9cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 7.5C,  пластинки Zu-2, стандарт к снимку 10-5233-a",
10-5233-a,nebula-Ori тум. в Орионе,04h45m,-05.00,17-18.02.1979,13m,07h09m,07h22m,UT_07h09m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 7.5C,  пластинки Zu-2, имеет стандарт 10-5234-a-st  и калибровку",
11-555,NGC6611-NGC6618,18h17m,-15.30,24-25.06.1952,1h,17h14m,18h14m,UT_17h14m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 16C,  пластинки East 103aF + к.ф.III.",
11-2193,NGC6611-NGC6618,18h17m,-15.30,04-05.08.1961,40m,19h00m,19h40m,UT_19h00m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 17C,  пластинки Kodak OaG + ж.ф.18, имеет калибровку по ночному небу 11-2193-Cal.",
11-2193-Cal,Calibrovka,,,04-05.08.1961,40m;50m;1h,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 17C,  пластинки Kodak OaG + ж.ф.18, калибровка по ночному небу к снимку 11-2193, 11-2194.",
11-2194,NGC869-NGC884  h и χ Per  ,02h20m,57.08,04-05.08.1961,40m,19h47m,20h27m,UT_19h47m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 17C,  пластинки Kodak OaG + ж.ф.18, имеет калибровку по ночному небу 11-2193-Cal.",
11-2214-e,NGC6611-NGC6618,18h17m,-15.30,13-14.09.1961,20m,19h59m,20h19m,UT_19h59m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 19C,  пластинки Kodak OaJ + о.с.11.",
11-2211,NGC6611-NGC6618,18h17m,-15.30,06-07.09.1961,8m,20h07m,20h15m,UT_20h15m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 19C,  пластинки Kodak OaO.",
11-2213,NGC6611-NGC6618,18h17m,-15.30,10-11.09.1961,40m,20h02m,20h42m,UT_20h02m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 14C,  пластинки Kodak OaG+ о.с.11, имеет калибровку 11-2213-Cal.",
11-2213-Cal,Calibrovka,,,10-11.09.1961,15m;15m;15m; 15m;15m;15m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 14C,  пластинки Kodak OaG+ о.с.11, калибровка  к снимку 11-2213, 11-2213-a-st.",
11-2213-a-st,NGC869-NGC884  h и χ Per  ,02h20m,57.08,10-11.09.1961,40m,19h06m,19h46m,UT_19h06m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 14C,  пластинки Kodak OaG+ о.с.11, имеет калибровку 11-2213-Cal.",
11-2214,NGC6611-NGC6618,18h17m,-15.30,12-13.09.1961,20m,19h10m,19h30m,UT_19h10m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 18C,  пластинки HP-3 + о.с.11.",
11-2215,NGC6611-NGC6618,18h17m,-15.30,14-15.09.1961,20m,,,,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 17C,  пластинки Kodak OaG+ о.с.11.",
11-2219,NGC6611-NGC6618,18h17m,-15.30,28-29.09.1961,40m,19h48m,,UT_19h48m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки East OaE + к.ф.III, имеет стандарт 11-2219-a-st  и калибровку 11-2219-Cal.",
11-2219-Cal,Calibrovka,,,28-29.09.1961,8m;11m;11m; 11m;10m;10m,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки East OaE + к.ф.III,  калибровка к снимку 11-2219  и 11-2219-a-st.",
11-2219-a-st,zeta-Pers,03h51m,32.00,28-29.09.1961,40m,00h15m,,UT_00h15m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки East OaE + к.ф.III,  стандарт  к снимку  11-2219.",
11-2220-a-st,zeta-Pers,03h51m,32.00,30.09-01.10.1961,35m,21h54m,22h29m,22h29m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 9C,  пластинки East OaE + к.ф.III,  стандарт  к снимку  12-2220.",
11-2225,NGC6611-NGC6618,18h17m,-15.30,11-12.10.1961,15m,20h20m,20h35m,20h20m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 19C,  пластинки Kodak OaO, имеет стандарт 11-2226.",
11-2191,NGC6611-NGC6618,18h17m,-15.30,03-04.08.1961,40m,19h52m,20h38m,UT_19h52m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 15C,  пластинки Kodak OaD + ж.ф.17, имеет стандарт  2192.",
11-4002,NGC6611-NGC6618,18h17m,-15.30,02-03.08.1972,15m,17h50m,18h05m,UT_17h50m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,"t= + 25C,  пластинки Kodak 103aO + у.ф.с. Шотта, имеет стандарт 11-4003 и калибровку 11-4002-Cal.",
11-4017,NGC6611-NGC6618,18h17m,-15.30,16-17.08.1972,10m,20h15m,20h25m,UT_20h15m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,"t= + 19C,  пластинки Kodak 103aF + интефериционный фильтр №2  На.",
11-5483-c,NGC6611-NGC6618,18h17m,-15.30,07-08.07.1985,5m,00h07m,00h12m,DT_00h07m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 18C,  пластинки ZP-3.",
11-690,Sky,05h39m,27.00,12-13.12.1952,1h40m,07h17m,09h00m,07h17m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 17C,  пластинки Jsopan JSS (очувствленные) + к.ф.III.",
11-707,Sky,22h00m,68.00,09-10.01.1953,24m,02h20m,02h44m,02h20m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 9C,  пластинки Astro uns.",
11-686,McD32,22h53m,62.05,04-05.12.1952,1h,23h00m,00h01m,23h00m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Jsopan JSS (очувствленные) + к.ф.III.",
11-687,McD32,22h53m,62.05,05-06.12.1952,1h20m,22h53m,00h13m,22h53m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Jsopan JSS (очувствленные) + ж.ф.II.",
11-688,McD32,22h53m,62.05,06-07.12.1952,2h,00h44m,02h44m,00h44m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Jsopan JSS (очувствленные) + к.ф.III.",
11-22,NGC6940-OCL141,20h30m,28.00,19-20.09.1950,15m,23h57m,00h12m,23h57m,"9,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 10C,  пластинки Ортохром + ж.ф.",
11-581,NGC6940-OCL141,20h33m,27.30,25-26.07.1952,2h,18h26m,20h26m,UT_18h26m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 20C,  пластинки rot rapid (очувствленные) + к.ф.III.",
11-2, M45   Плеяды,03h46m,24.07,08-09.09.1950,1h,,,,"9,4*9,4cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Jlford rapid.",
11-74, M45   Плеяды,03h46m,24.07,02-03.12.1950,2m,,,,"9,4*9,4cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,,
11-81, M45-alphaCaMu,03h46m,24.07,04-05.12.1950,3h,,,,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,,
11-82, M45-alphaCaMu,03h46m,24.07,04-05.12.1950,2h,,,,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,,
11-110,IC434-Barnard33,05h38m,-02.30,07-08.02.1951,1h30m,07h30m,09h00m,07h30m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.   Рожковский Д.А.,"t= - 14C,  пластинки Astro uns.",
11-121-st, M45   Плеяды,03h46m,24.07,16-17.02.1951,5m,05h00m,05h05m,UT_05h00m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.   Рожковский Д.А.,"t= + 1C,  пластинки Astro uns,  стандарт к снимку 21-120.",
11-126, M45   Плеяды,03h46m,24.07,25-26.02.1951,1h40m,06h00m,07h40m,UT_06h00m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.   Рожковский Д.А.,"t= - 20C,  пластинки Astro uns.",
11-372, M45   Плеяды,03h46m,24.07,30.11-1.12.1951,25m,03h04m,03h29m,UT_03h04m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П.   Рожковский Д.А.,"t= - 2C,  пластинки Astro uns 1326.",
11-1396, M45   Плеяды,03h46m,24.07,25-26.08.1955,20m,00h04m,00h24m,00h04m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 14C,  пластинки Astro uns, стандарт к снимку 2-1395.",
11-2226, M45   Плеяды,03h46m,24.07,11-12.10.1961,15m,22h29m,22h44m,22h29m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки East OaO,  стандарт к снимку 11-2225.",
11-2395, M45   Плеяды,03h46m,24.07,23-24.02.1963,30m,06h45m,07h15m,UT_06h45m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 7C,  пластинки Astro uns + у.ф.с.1.",
11-2396, M45   Плеяды,03h46m,24.07,23-24.02.1963,1h15m,07h28m,08h38m,UT_07h28m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 7C,  пластинки Panchrom Raman + к.ф. I.",
11-5328-a, M45   Плеяды,03h46m,24.07,01-02.11.1983,5m,22h58m,23h03,DT_22h58m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 12C,  пластинки East IIIaJ (очувствленные) + ж.ф.18.",
11-106-a, M45   Плеяды,03h46m,24.07,03-04.02.1951,10m,,,,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П. ,"t= - 4C,  пластинки Astro uns.",
11-124, M45   Плеяды,03h46m,24.07,23-24.02.1951,10m,,,,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П. ,"t= - 10C,  пластинки Astro uns.",
11-125, M45   Плеяды,03h46m,24.07,23-24.02.1951,10m,,,,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П. ,"t= - 10C,  пластинки Astro uns.",
11-273,NGC7293,22h27m,-21.06,04-05.08.1951,1h,21h03m,22h03m,21h03m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Торопова Т.П. ,"t= + 10C,  пластинки East OaE + к.ф.III, имеет стандарт 25-273-st  и калибровку 25-273-Cal.",
11-279,NGC7293,22h27m,-21.06,11-12.08.1951,26m,23h23m,23h49m,23h23m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 13C,  пластинки Astro uns 1335 + c.ф.4, имеет стандарт 25-278  и калибровку 24-279-Cal.",
11-304,NGC7293,22h27m,-21.06,04-05.09.1951,1h,20h43m,21h43m,20h43m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки East OaE + к.ф.III, имеет стандарт 25-304-st  и калибровку 24-304-Cal.",
11-312,M27-NGC6853  Думбель,19h57m,22.35,18-19.09.1951,40m,19h42m,20h22h,UT_19h42m,"9,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 9C,  пластинки Astro uns.",
11-396,lambda-Ori,05h33m,09.55,30-31.12.1951,1h,03h26m,04h26m,UT_03h26m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 7C,  пластинки East OaE + к.ф.III.",
11-1470,lambda-phi-Ori,05h32m,10.00,23-24.10.1955,20m,05h45m,06h05m,UT_05h45m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 2C,  пластинки Astro uns.",
11-1964,lambda-Ori,05h33m,09.55,09-10.02.1958,20m,06h53m,07h13m,UT_06h53m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 0C,  пластинки Jlford zenit.",
11-551,alpha-Scrp,16h26m,-26.20,23-24.06.1952,1h,16h49m,17h49m,UT_16h49m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 14C,  пластинки rot rapid (очувствленные) + к.ф.III.",
11-266,NGC7293,22h27m,-21.06,28-29.07.1951,15m,21h21m,21h36m,21h21m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 13C,  пластинки Astro uns, имеет стандарт 25-266-st  и калибровку 24-266-Cal.",
11-1049,NGC6334,17h18m,-36.00,23-24.07.1954,13m,17h35m,17h48,UT_17h35m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 16C,  пластинки Jsopan JSS + к.ф.III.",
11-1054,NGC6334,17h18m,-36.00,26-27.07.1954,35m,17h15m,17h50m,UT_17h15m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 16C,  пластинки Jsopan JSS + к.ф.III.",
