ID,OBJECT,OBJECT-TYPE,RA,DEC,EQ-ORIG,DATE-OBS,EXPTIME,TMS-LST,TME-LST,TMS-LT,TME-LT,SIZE,TELESCOPE,OBSERVER,"TEMPERAT, C",SKYCOND,OBSNOTE,DETNAME,EMULSION,METHOD,FOCUS,NOTES,SCANNOTE,FILTER,PLATNOTE
1-2600-st-b,SA 113,,21h13m,0.00,,13-14.08.1964,15m,23h47m15s,0h02m15s,23h47m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,20,,,photographic plate,Astro spec,,,стандарт к снимку 1-2600 ,,,
1-2600-Calibration-a,Calibration,calibration,,,,13-14.08.1964,10m;20m;17m; 4m;4m,,,,,3*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,20,,,photographic plate,Astro spec,,, калибровка к снимкам 1-2600 ,,,
1-2600-Calibration-b,Calibration,calibration,,,,13-14.08.1964,10m;4m;7m; 15m,,,,,3*9.7 ,50cm менисковый телескоп Максутова,Глушков Ю.И.,20,,,photographic plate,Astro spec,,,калибровка к снимкам 1-2600 ,,,
1-2602,22P/Kopff,comet,23h47m,-7.50,,15-16.08.1964,14m,22h34m,22h48m,22h34m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,26,,,photographic plate,Astro spec,,,,,,
1-2602-st,Field,field,23h40m,-11.20,,15-16.08.1964,14m,22h54m.5,23h08m.5,22h54m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,26,,,photographic plate,Astro spec,,,стандарт к снимку 1-2602 ,,,снимок поломан
1-2602-Calibration,Calibration,calibration,,,,15-16.08.1964,25m;35m;17m; 10m;8m;6m,,,,,3*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,26,,,photographic plate,Astro spec,,,калибровка к снимкам 1-2602 ,,,
1-2726,22P/Kopff,comet,23h18m,-11.19,,5-6.11.1964,12m,22h55m,23h07m,22h55m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Astro spec,,,,,,
1-2727,22P/Kopff,comet,23h18m,-11.19,,5-6.11.1964,12m,23h15m,23h27m,23h15m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-1,,,photographic plate,Astro spec,,,,,,
1-1636,Crommelin 1928 III ,comet,7h22.5,51.33,,12-13.09.1956,12m;11m,2h29m; 2h47m,2h41m; 2h58m,2h29m,,8.9*9.7 ,50cm менисковый телескоп Максутова,,15,,U=-7m49s,photographic plate,Jsoh JSS,,,,,,
1-1637,Crommelin 1928 III ,comet,7h22.5,51.33,,12-13.09.1956,15m;10m,3h17m; 3h35m,3h32m; 3h45m,3h17m,,8.9*9.7 ,50cm менисковый телескоп Максутова,,15,,U=-7m49s,photographic plate,Jsoh JSS,,,,,,
